INFO  2016-02-24 21:36:10,300 13341ms MailRuTests            st1_LogInToMailbox - Open LoginPage
WARN  2016-02-24 21:36:11,495 14537ms MailRuTests            st1_LogInToMailbox - Username and password...
ERROR 2016-02-24 21:36:26,276 29318ms MailRuTests            st1_LogInToMailbox - Assert passed
FATAL 2016-02-24 21:36:27,692 30734ms MailRuTests            st1_LogInToMailbox - Test finished!
2016-02-24 21:38:38,335 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:38:38,666 [Runner thread] WARN  Module6.Tests.MailRuTests Username and password...
2016-02-24 21:38:47,116 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 21:38:48,616 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 21:43:37,430 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:43:37,912 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:43:44,464 [Runner thread] INFO  Module6.Tests.MailRuTests Login to Mailbox
2016-02-24 21:43:45,395 [Runner thread] INFO  Module6.Tests.MailRuTests Create New Message
2016-02-24 21:46:34,032 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:46:34,349 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:46:41,604 [Runner thread] INFO  Module6.Tests.MailRuTests Login to Mailbox
2016-02-24 21:46:42,464 [Runner thread] INFO  Module6.Tests.MailRuTests Create New Message
2016-02-24 21:47:23,042 [Runner thread] INFO  Module6.Tests.MailRuTests Fill the fields
2016-02-24 21:48:14,692 [Runner thread] INFO  Module6.Tests.MailRuTests Save as Draft
2016-02-24 21:48:15,313 [Runner thread] INFO  Module6.Tests.MailRuTests Check Draft folder
2016-02-24 21:49:16,960 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:49:17,315 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:49:28,016 [Runner thread] INFO  Module6.Tests.MailRuTests Login to Mailbox
2016-02-24 21:49:28,807 [Runner thread] INFO  Module6.Tests.MailRuTests Create New Message
2016-02-24 21:49:35,308 [Runner thread] INFO  Module6.Tests.MailRuTests Fill the fields
2016-02-24 21:55:05,925 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:55:06,249 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:55:16,061 [Runner thread] INFO  Module6.Tests.MailRuTests Login to Mailbox
2016-02-24 21:55:16,889 [Runner thread] INFO  Module6.Tests.MailRuTests Create New Message
2016-02-24 21:55:19,962 [Runner thread] INFO  Module6.Tests.MailRuTests Fill the fields
2016-02-24 21:55:40,854 [Runner thread] INFO  Module6.Tests.MailRuTests Save as Draft
2016-02-24 21:55:43,772 [Runner thread] INFO  Module6.Tests.MailRuTests Check Draft folder
2016-02-24 21:55:43,839 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 21:56:04,318 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:56:04,670 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:56:13,224 [Runner thread] INFO  Module6.Tests.MailRuTests Login to Mailbox
2016-02-24 21:56:14,315 [Runner thread] INFO  Module6.Tests.MailRuTests Create New Message
2016-02-24 21:56:17,327 [Runner thread] INFO  Module6.Tests.MailRuTests Fill the fields
2016-02-24 21:56:18,840 [Runner thread] INFO  Module6.Tests.MailRuTests Save as Draft
2016-02-24 21:56:19,559 [Runner thread] INFO  Module6.Tests.MailRuTests Check Draft folder
2016-02-24 21:56:19,870 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 21:57:50,016 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 21:57:50,373 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 21:57:56,993 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:12:14,197 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:12:14,520 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:12:22,849 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:20:18,733 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:20:19,062 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:20:26,300 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:31:50,350 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:31:50,627 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:31:57,419 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:33:28,355 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:33:28,603 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:33:34,338 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:37:49,559 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:37:49,812 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:37:57,560 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:40:56,686 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:40:56,939 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:41:02,712 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:51:22,132 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:51:22,467 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:51:27,400 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:56:14,619 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 22:56:15,167 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 22:56:24,229 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 22:56:27,999 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:06:20,876 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:06:21,152 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:06:27,216 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:09:25,400 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:09:25,706 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:09:31,496 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:11:01,443 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:11:01,804 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:11:07,599 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:15:55,823 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:15:56,134 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:16:02,336 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:16:57,838 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:18:44,135 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:18:44,490 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:18:50,741 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:18:51,800 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:20:11,711 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:20:12,024 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:20:17,652 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:20:18,853 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:20:51,502 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:20:51,797 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
2016-02-24 23:20:58,551 [Runner thread] ERROR Module6.Tests.MailRuTests Assert passed
2016-02-24 23:21:00,343 [Runner thread] FATAL Module6.Tests.MailRuTests Test finished!
2016-02-24 23:25:42,620 [Runner thread] INFO  Module6.Tests.MailRuTests Open LoginPage
2016-02-24 23:25:42,949 [Runner thread] WARN  Module6.Tests.MailRuTests Enetr username and password...
